58,61,47,13,50,0,48,22,MIT
43,67,48,27,50,0,53,22,MIT
64,62,49,15,50,0,53,22,MIT
58,44,57,13,50,0,54,22,NUC
42,44,48,54,50,0,48,22,MIT
51,40,56,17,50,50,49,22,CYT
50,54,48,65,50,0,53,22,MIT
48,45,59,20,50,0,58,34,NUC
55,50,66,36,50,0,49,22,MIT
40,39,60,15,50,0,58,30,CYT
43,39,54,21,50,0,53,27,NUC
42,37,59,20,50,0,52,29,NUC
40,42,57,35,50,0,53,25,CYT
60,40,52,46,50,0,53,22,MIT
66,55,45,19,50,0,46,22,MIT
46,44,52,11,50,0,50,22,CYT
47,39,50,11,50,0,49,40,CYT
58,47,54,11,50,0,51,26,NUC
50,34,55,21,50,0,49,22,NUC
61,60,55,21,50,0,50,25,NUC
45,40,50,16,50,0,50,22,CYT
43,44,48,22,50,0,51,22,CYT
73,63,42,30,50,0,49,22,CYT
43,53,52,13,50,0,55,22,CYT
46,53,52,15,50,0,58,22,CYT
51,51,52,51,50,0,54,22,MIT
59,45,53,19,50,0,59,27,CYT
57,47,60,18,50,0,51,22,CYT
63,67,57,24,50,0,49,22,MIT
80,88,36,39,50,0,56,33,ME1
53,54,43,10,50,0,57,32,NUC
51,51,43,87,50,0,52,22,MIT
38,61,61,12,50,0,53,47,CYT
33,55,51,43,50,0,51,22,NUC
78,74,42,26,50,0,43,22,ME1
74,67,47,34,50,0,42,22,EXC
72,61,45,30,50,0,54,25,MIT
40,45,57,18,50,0,56,26,CYT
59,53,43,44,50,0,50,22,MIT
57,53,53,34,50,0,53,22,MIT
86,68,39,24,50,0,54,22,ME2
86,74,51,40,50,0,55,22,ME2
79,57,41,28,50,0,59,22,ME2
41,54,39,20,50,0,51,22,ME3
37,36,56,18,50,0,48,26,VAC
53,31,58,39,50,0,47,37,NUC
74,75,58,47,50,0,40,35,ME2
49,39,52,29,50,0,48,22,EXC
74,57,51,28,50,0,58,22,VAC
42,24,34,16,50,0,50,22,ME3
48,39,51,21,50,0,52,28,CYT
41,53,45,14,50,0,52,66,ME3
45,46,55,43,50,0,55,38,NUC
56,48,58,27,50,0,51,22,CYT
64,59,56,23,50,0,46,22,CYT
64,56,56,22,50,0,45,22,CYT
66,62,49,10,50,0,49,22,CYT
53,44,51,33,50,0,55,22,CYT
38,49,53,19,50,0,50,22,CYT
45,58,48,67,50,0,52,22,MIT
43,35,52,52,50,0,54,22,MIT
37,32,47,18,50,0,45,25,NUC
48,43,51,32,50,0,52,43,NUC
41,46,59,19,50,0,58,27,NUC
54,48,44,8,50,0,52,27,CYT
60,47,45,22,50,0,51,29,CYT
34,46,57,9,50,0,55,22,CYT
48,54,55,12,50,0,51,22,CYT
47,39,59,15,50,0,57,22,CYT
81,85,47,37,50,0,56,22,EXC
48,42,52,24,50,0,56,22,CYT
58,51,49,27,50,0,57,29,CYT
60,50,44,61,50,0,47,22,MIT
45,55,54,66,50,0,47,22,MIT
46,49,58,23,50,0,44,22,MIT
49,42,56,55,50,0,42,25,MIT
63,53,54,40,50,0,50,22,MIT
50,54,53,54,50,0,51,27,MIT
63,57,59,40,50,0,38,22,MIT
43,57,51,49,50,0,48,22,MIT
48,45,55,50,50,0,53,22,MIT
50,58,46,46,50,0,46,22,MIT
51,54,60,57,50,0,58,22,MIT
54,52,63,37,50,0,46,22,MIT
67,62,40,43,50,83,50,22,MIT
28,58,21,13,50,0,51,22,ME3
39,44,35,16,50,0,55,22,ME3
80,63,45,29,50,0,51,22,EXC
50,52,59,30,50,0,51,35,NUC
42,47,52,41,50,0,53,32,CYT
36,46,62,46,50,0,51,33,CYT
46,38,47,22,50,0,52,27,MIT
40,45,56,20,50,0,45,22,CYT
33,43,64,16,50,0,52,52,NUC
49,61,49,25,50,0,50,28,CYT
38,50,37,26,50,0,43,22,ME3
69,70,52,36,50,0,46,22,EXC
61,72,39,33,50,0,58,22,MIT
78,75,40,28,50,0,53,22,MIT
64,57,57,27,50,0,37,22,CYT
