49,29,48,50,56,24,35,AAT_ECOLI
7,40,48,50,54,35,44,ACEA_ECOLI
56,40,48,50,49,37,46,ACEK_ECOLI
59,49,48,50,52,45,36,ACKA_ECOLI
23,32,48,50,55,25,35,ADI_ECOLI
67,39,48,50,36,38,46,ALKH_ECOLI
29,28,48,50,44,23,34,AMPD_ECOLI
21,34,48,50,51,28,39,AMY2_ECOLI
20,44,48,50,46,51,57,APT_ECOLI
42,40,48,50,56,18,30,ARAC_ECOLI
42,24,48,50,57,27,37,ASG1_ECOLI
25,48,48,50,44,17,29,BTUR_ECOLI
39,32,48,50,46,24,35,CAFA_ECOLI
51,50,48,50,46,32,35,CAIB_ECOLI
22,43,48,50,48,16,28,CFA_ECOLI
25,40,48,50,46,44,52,CHEA_ECOLI
34,45,48,50,38,24,35,CHEB_ECOLI
44,27,48,50,55,52,58,CHEW_ECOLI
23,40,48,50,39,28,38,CHEY_ECOLI
41,57,48,50,39,21,32,CHEZ_ECOLI
40,45,48,50,38,22,20,CRL_ECOLI
31,23,48,50,73,5,14,CSPA_ECOLI
51,54,48,50,41,34,43,CYNR_ECOLI
30,16,48,50,56,11,23,CYPB_ECOLI
36,39,48,50,48,22,23,CYPC_ECOLI
29,37,48,50,48,44,52,CYSB_ECOLI
25,40,48,50,47,33,42,CYSE_ECOLI
21,51,48,50,50,32,41,DAPD_ECOLI
43,37,48,50,53,35,44,DCP_ECOLI
43,39,48,50,47,31,41,DDLA_ECOLI
53,38,48,50,44,26,36,DDLB_ECOLI
34,33,48,50,38,35,44,DEOC_ECOLI
56,51,48,50,34,37,46,DLDH_ECOLI
40,29,48,50,42,35,44,EFG_ECOLI
24,35,48,50,31,19,31,EFTS_ECOLI
36,54,48,50,41,38,46,EFTU_ECOLI
29,52,48,50,42,29,39,ENO_ECOLI
65,47,48,50,59,30,40,FABB_ECOLI
32,42,48,50,35,28,38,FES_ECOLI
38,46,48,50,48,22,29,G3P1_ECOLI
33,45,48,50,52,32,41,G3P2_ECOLI
30,37,48,50,59,41,49,G6PI_ECOLI
40,50,48,50,45,39,47,GCVA_ECOLI
28,38,48,50,50,33,42,GLNA_ECOLI
61,45,48,50,48,35,41,GLPD_ECOLI
17,38,48,50,45,42,50,GLYA_ECOLI
44,35,48,50,55,55,61,GSHR_ECOLI
43,40,48,50,39,28,39,GT_ECOLI
42,35,48,50,58,15,27,HEM6_ECOLI
23,33,48,50,43,33,43,HEMN_ECOLI
37,52,48,50,42,42,36,HPRT_ECOLI
29,30,48,50,45,3,17,IF1_ECOLI
22,36,48,50,35,39,47,IF2_ECOLI
23,58,48,50,37,53,59,ILVY_ECOLI
47,47,48,50,22,16,26,IPYR_ECOLI
54,47,48,50,28,33,42,KAD_ECOLI
51,37,48,50,35,36,45,KDSA_ECOLI
40,35,48,50,45,33,42,LEU3_ECOLI
44,34,48,50,30,33,43,LON_ECOLI
42,38,48,50,54,34,43,LPLA_ECOLI
44,56,48,50,50,46,54,LYSR_ECOLI
52,36,48,50,41,28,38,MALQ_ECOLI
36,41,48,50,48,47,54,MALZ_ECOLI
18,30,48,50,46,24,35,MASY_ECOLI
47,29,48,50,51,33,43,METB_ECOLI
24,43,48,50,54,52,59,METC_ECOLI
25,37,48,50,41,33,42,METK_ECOLI
52,57,48,50,42,47,54,METR_ECOLI
25,37,48,50,43,26,36,METX_ECOLI
35,48,48,50,56,40,48,MURF_ECOLI
26,26,48,50,34,25,35,NADA_ECOLI
44,51,48,50,47,26,36,NFRC_ECOLI
37,50,48,50,42,36,45,NHAR_ECOLI
44,42,48,50,42,25,20,NIRD_ECOLI
24,43,48,50,37,28,38,OMPR_ECOLI
42,30,48,50,48,26,36,OTC1_ECOLI
48,42,48,50,45,25,35,OTC2_ECOLI
41,48,48,50,51,44,51,PEPE_ECOLI
44,28,48,50,43,27,37,PFLA_ECOLI
29,41,48,50,48,38,46,PFLB_ECOLI
34,28,48,50,41,35,44,PGK_ECOLI
41,43,48,50,45,31,41,PHOB_ECOLI
29,47,48,50,41,23,34,PHOH_ECOLI
34,55,48,50,58,31,41,PMBA_ECOLI
36,56,48,50,43,45,53,PNP_ECOLI
40,46,48,50,52,49,56,PROB_ECOLI
50,49,48,50,49,46,53,PT1A_ECOLI
52,44,48,50,37,36,42,PT1_ECOLI
50,51,48,50,27,23,34,PTCA_ECOLI
53,42,48,50,16,29,39,PTCB_ECOLI
34,46,48,50,52,35,44,PTFA_ECOLI
40,42,48,50,37,27,27,PTGA_ECOLI
41,43,48,50,50,24,25,PTHA_ECOLI
30,45,48,50,36,21,32,PTHP_ECOLI
31,47,48,50,29,28,39,PTKA_ECOLI
64,76,48,50,45,35,38,PTKB_ECOLI
35,37,48,50,30,34,43,PTNA_ECOLI
57,54,48,50,37,28,33,PTWB_ECOLI
65,55,48,50,34,37,28,PTWX_ECOLI
